domain,zone,status,summary
ye.ml,ml,undelegated,country geo
yf.ml,ml,undelegated,country geo
yg.ml,ml,undelegated,country geo
yh.ml,ml,unknown,country geo
yi.ml,ml,undelegated,country geo
yj.ml,ml,undelegated,country geo
yk.ml,ml,,country geo
yl.ml,ml,undelegated,country geo
ym.ml,ml,undelegated,country geo
yn.ml,ml,undelegated,country geo
yo.ml,ml,undelegated,country geo
yp.ml,ml,undelegated,country geo
yq.ml,ml,undelegated,country geo
yr.ml,ml,undelegated,country geo
ys.ml,ml,undelegated,country geo
yt.ml,ml,undelegated,country geo
yu.ml,ml,undelegated,country geo
yv.ml,ml,undelegated,country geo
yw.ml,ml,undelegated,country geo
yx.ml,ml,undelegated,country geo
yy.ml,ml,undelegated,country geo
yz.ml,ml,undelegated,country geo
za.ml,ml,undelegated,country geo
zb.ml,ml,undelegated,country geo
zc.ml,ml,undelegated,country geo
zd.ml,ml,undelegated,country geo
ze.ml,ml,undelegated,country geo
zf.ml,ml,undelegated,country geo
zg.ml,ml,undelegated,country geo
zh.ml,ml,undelegated,country geo
zi.ml,ml,undelegated,country geo
zj.ml,ml,undelegated,country geo
zk.ml,ml,active,country geo
zl.ml,ml,undelegated,country geo
zm.ml,ml,undelegated,country geo
zn.ml,ml,undelegated,country geo
zo.ml,ml,undelegated,country geo
zp.ml,ml,undelegated,country geo
zq.ml,ml,undelegated,country geo
zr.ml,ml,undelegated,country geo
zs.ml,ml,undelegated,country geo
zt.ml,ml,undelegated,country geo
zu.ml,ml,undelegated,country geo
zv.ml,ml,undelegated,country geo
zw.ml,ml,undelegated,country geo
zx.ml,ml,undelegated,country geo
zy.ml,ml,unknown,country geo
zz.ml,ml,undelegated,country geo
