domain,zone,status,summary
wq.fo,fo,undelegated inactive,inactive
wr.fo,fo,undelegated inactive,inactive
ws.fo,fo,active,active
wt.fo,fo,active,active
wu.fo,fo,undelegated inactive,inactive
wv.fo,fo,undelegated inactive,inactive
ww.fo,fo,active,active
wx.fo,fo,undelegated inactive,inactive
wy.fo,fo,undelegated inactive,inactive
wz.fo,fo,undelegated inactive,inactive
xa.fo,fo,undelegated inactive,inactive
xb.fo,fo,undelegated inactive,inactive
xc.fo,fo,undelegated inactive,inactive
xd.fo,fo,undelegated inactive,inactive
xe.fo,fo,undelegated inactive,inactive
xf.fo,fo,undelegated inactive,inactive
xg.fo,fo,undelegated inactive,inactive
xh.fo,fo,undelegated inactive,inactive
xi.fo,fo,undelegated inactive,inactive
xj.fo,fo,undelegated inactive,inactive
xk.fo,fo,undelegated inactive,inactive
xl.fo,fo,active,active
xm.fo,fo,active,active
xn.fo,fo,active,active
xo.fo,fo,active,active
xp.fo,fo,undelegated inactive,inactive
xq.fo,fo,undelegated inactive,inactive
xr.fo,fo,undelegated inactive,inactive
xs.fo,fo,active,active
xt.fo,fo,undelegated inactive,inactive
xu.fo,fo,undelegated inactive,inactive
xv.fo,fo,undelegated inactive,inactive
xw.fo,fo,undelegated inactive,inactive
xx.fo,fo,marketed active,active
xy.fo,fo,active,active
xz.fo,fo,undelegated inactive,inactive
ya.fo,fo,undelegated inactive,inactive
yb.fo,fo,undelegated inactive,inactive
yc.fo,fo,active,active
yd.fo,fo,active,active
ye.fo,fo,undelegated inactive,inactive
yf.fo,fo,active,active
yg.fo,fo,undelegated inactive,inactive
yh.fo,fo,undelegated inactive,inactive
yi.fo,fo,undelegated inactive,inactive
yj.fo,fo,undelegated inactive,inactive
yk.fo,fo,undelegated inactive,inactive
yl.fo,fo,undelegated inactive,inactive
ym.fo,fo,undelegated inactive,inactive
yn.fo,fo,undelegated inactive,inactive
yo.fo,fo,active,active
yp.fo,fo,undelegated inactive,inactive
yq.fo,fo,undelegated inactive,inactive
yr.fo,fo,active,active
ys.fo,fo,undelegated inactive,inactive
yt.fo,fo,undelegated inactive,inactive
yu.fo,fo,undelegated inactive,inactive
yv.fo,fo,undelegated inactive,inactive
yw.fo,fo,active,active
yx.fo,fo,undelegated inactive,inactive
yy.fo,fo,active,active
yz.fo,fo,active,active
za.fo,fo,active,active
zb.fo,fo,undelegated inactive,inactive
zc.fo,fo,undelegated inactive,inactive
zd.fo,fo,undelegated inactive,inactive
ze.fo,fo,undelegated inactive,inactive
zf.fo,fo,undelegated inactive,inactive
zg.fo,fo,undelegated inactive,inactive
zh.fo,fo,undelegated inactive,inactive
zi.fo,fo,undelegated inactive,inactive
zj.fo,fo,undelegated inactive,inactive
zk.fo,fo,undelegated inactive,inactive
zl.fo,fo,undelegated inactive,inactive
zm.fo,fo,undelegated inactive,inactive
zn.fo,fo,undelegated inactive,inactive
zo.fo,fo,active,active
zp.fo,fo,undelegated inactive,inactive
zq.fo,fo,undelegated inactive,inactive
zr.fo,fo,undelegated inactive,inactive
zs.fo,fo,undelegated inactive,inactive
zt.fo,fo,undelegated inactive,inactive
zu.fo,fo,undelegated inactive,inactive
zv.fo,fo,undelegated inactive,inactive
zw.fo,fo,undelegated inactive,inactive
zx.fo,fo,undelegated inactive,inactive
zy.fo,fo,undelegated inactive,inactive
zz.fo,fo,marketed priced active,active
